pert_iname	moa
esmolol	Adrenergic receptor antagonist
darunavir	HIV inhibitor
evoxine	Furoquinoline alkaloid
sonidegib	Smoothened receptor antagonist
PQ-401	IGF-1 inhibitor
anacetrapib	Cholesterol inhibitor
cisapride	Serotonin receptor agonist
BRD-K01815685	Aryl hydrocarbon receptor agonist|Indoleamine 2,3-dioxygenase inhibitor
tetracaine	Membrane integrity inhibitor
HU-211	Glutamate receptor antagonist
thiorphan	Membrane integrity inhibitor
UNC-669	L3MBTL antagonist
D-4476	TGF-beta receptor inhibitor
famciclovir	DNA inhibitor
phenylephrine	Adrenergic receptor agonist
triptorelin	Gonadotropin receptor agonist
oxymetazoline	Adrenergic receptor agonist
MGCD-265	VEGFR inhibitor
AGI-6780	Isocitrate dehydrogenase inhibitor
SB-239063	P38 MAPK inhibitor
GSK-1838705A	IGF-1 inhibitor
talinolol	Adrenergic receptor antagonist
rutin	Antioxidant|Capillary stabilizing agent|Nitric oxide scavenger
CAY-10618	NAMPT inhibitor
darifenacin	Acetylcholine receptor antagonist
BRD-A63236097	Tumor necrosis factor production inhibitor
nicotinamide	Protein synthesis stimulant
BRL-37344	Adrenergic receptor agonist
salbutamol	Adrenergic receptor agonist
pyrazinamide	Fatty acid synthase inhibitor
MLN-2480	RAF inhibitor
SB-683698	Integrin inhibitor
ibrutinib	BTK inhibitor
baclofen	GABA receptor agonist
itopride	Dopamine receptor antagonist
doxylamine	Histamine receptor antagonist
IOX2	HIF Inhibitor
BI-2536	PLK inhibitor
emtricitabine	Nucleoside reverse transcriptase inhibitor
metformin	Insulin sensitizer
docosatrienoic-acid	LTB4 inhibitor
dideoxyadenosine	Nucleoside reverse transcriptase inhibitor
noscapine	Bradykinin receptor antagonist|Tubulin polymerization inhibitor
ICI-162846	Histamine receptor antagonist
PRIMA1	p53 inhibitor
alrestatin	Aldose reductase inhibitor
biochanin-a	Estrogen receptor agonist
dofequidar	MRP inhibitor|P-glycoprotein inhibitor
doxazosin	Adrenergic receptor antagonist
TG-101209	JAK inhibitor
theobromine	Phosphodiesterase inhibitor
phenylacetylglutamine	DNA inhibitor|Protein synthesis inhibitor
SB-939	HDAC inhibitor
minaprine	Serotonin receptor antagonist
marmesin	Angiogenesis inhibitor
tazarotene	Retinoid receptor agonist
tipifarnib	Farnesyltransferase inhibitor
tenidap	Cyclooxygenase inhibitor
idebenone	Calcium channel blocker
linsitinib	IGF-1 inhibitor
dicyclohexylurea	Epoxide hydolase inhibitor
sulfathiazole	Dihydropteroate synthase inhibitor
PLX-4720	RAF inhibitor
MLN-4924	Nedd activating enzyme inhibitor
anandamide	Cannabinoid receptor agonist
endo-IWR-1	PARP inhibitor
clonidine	Adrenergic receptor agonist
topotecan	Topoisomerase inhibitor
azacitidine	DNA methyltransferase inhibitor
EPZ-004777	DOT1L inhibitor
celecoxib	Cyclooxygenase inhibitor
sorafenib	RAF inhibitor|FLT3 inhibitor|KIT inhibitor|PDGFR inhibitor|RET inhibitor|VEGFR inhibitor
tozasertib	Aurora kinase inhibitor
GSK-429286A	Rho associated kinase inhibitor
NS-1619	Calcium channel activator
cimaterol	Adrenergic receptor agonist
chrysin	Breast cancer resistance protein inhibitor
repaglinide	Insulin secretagogue
