Rank	Pert_id	Drug	rRGES	moa
1	BRD-K36490574	BRD-K36490574	-0.6183723946482768	-
2	BRD-K39915878	loxapine	-0.6065297020990855	Dopamine receptor antagonist|Serotonin receptor antagonist
3	BRD-K84175871	pseudoephedrine	-0.600228961825605	Adrenergic receptor agonist
4	BRD-K37160541	BRD-K37160541	-0.5995310627932608	-
5	BRD-K90417362	BRD-K90417362	-0.5933637290017729	-
6	BRD-K49181186	EMF-sumo1-7	-0.5903490128066254	-
7	BRD-A36165599	BRD-A36165599	-0.5868391745377235	-
8	BRD-K93023739	IKK-inhibitor-X	-0.5856750338580405	-
9	BRD-K73238422	BRD-K73238422	-0.5856062568555005	-
10	BRD-K94070024	depomedrol	-0.5847997565201282	Glucocorticoid receptor agonist
11	BRD-A76019558	ketoconazole	-0.5823384783271762	Sterol demethylase inhibitor
12	BRD-K09397065	SR-57227A	-0.5817281713438395	-
13	BRD-K99595596	salsolinol	-0.581085430815269	Monoamine oxidase inhibitor|Tyrosine hydroxylase inhibitor
14	BRD-K93331255	lypressin	-0.580013650589357	Vasopressin receptor agonist
15	BRD-A16754160	ampicillin	-0.5778010104968438	Bacterial cell wall synthesis inhibitor
16	BRD-K31851742	BRD-K31851742	-0.5752509490911488	-
17	BRD-K68507560	dicycloverine	-0.5743845013962235	Acetylcholine receptor antagonist
18	BRD-K52989797	clomipramine	-0.5715442457025178	Serotonin receptor antagonist
19	BRD-K63923597	barasertib	-0.5681892548593078	Aurora kinase inhibitor
20	BRD-K84709232	caffeic-acid	-0.5670512074932709	HIV inhibitor|Lipoxygenase inhibitor|NFKB inhibitor|Nitric oxide production inhibitor|PPAR receptor agonist|TNF inhibitor
21	BRD-K32755366	reserpic-acid	-0.5669848148189989	Norepinephrine inhibitor
22	BRD-K25144184	BRD-K25144184	-0.5659450137831652	-
23	BRD-A02710418	meptazinol	-0.5659428035921886	Opioid receptor agonist
24	BRD-A02006392	nitrendipine	-0.5654730937989798	Calcium channel blocker
25	BRD-K77947974	fluspirilene	-0.5647490468062298	Dopamine receptor antagonist
26	BRD-K86682249	BRD-K86682249	-0.5647057512129967	-
27	BRD-K16551401	PNU-22394	-0.5640926045113365	-
28	BRD-K68863575	BRD-K68863575	-0.5637832885980918	-
29	BRD-K71103788	duloxetine	-0.5636826664817574	Norepinephrine inhibitor|Serotonin reuptake inhibitor
30	BRD-K66902379	BRD-K66902379	-0.5616757177719714	-
31	BRD-A75769826	SDM25N	-0.5613225859829097	-
32	BRD-K11778076	BRD-K11778076	-0.5608113192257933	-
33	BRD-K57304726	PRE-084	-0.5607453293741249	-
34	BRD-K01292756	pimozide	-0.5603724091792848	Dopamine receptor antagonist
35	BRD-A07440155	labetalol	-0.5595168570576331	Adrenergic receptor antagonist
36	BRD-K30240666	clemastine	-0.559153247752683	Histamine receptor antagonist
37	BRD-K76133116	benzydamine	-0.5579713915808938	Prostanoid receptor antagonist
38	BRD-A24228527	ofloxacin	-0.5574901373513189	Bacterial DNA inhibitor
39	BRD-K93188295	ARC-239	-0.5572273995338989	-
40	BRD-K71322910	ST-012525	-0.5570760547834884	-
41	BRD-K28936863	ketotifen	-0.5563763985068063	Histamine receptor agonist|Leukotriene receptor antagonist|Phosphodiesterase inhibitor
42	BRD-K06476055	BRD-K06476055	-0.5557012333302904	-
43	BRD-A19195498	trimipramine	-0.5555255839741327	Norepinephrine inhibitor|Tricyclic antidepressant
44	BRD-K37289225	clozapine	-0.555503659897361	Serotonin receptor antagonist|Dopamine receptor antagonist
45	BRD-A34817987	itraconazole	-0.5541361809151781	Cytochrome P450 inhibitor
46	BRD-K97764662	PD-173074	-0.5537949474405139	-
47	BRD-K94832621	Y-134	-0.5536363538831369	-
48	BRD-K08252256	diclofenac	-0.5533648673952285	Cyclooxygenase inhibitor
49	BRD-K94441233	mevastatin	-0.5523882400927786	HMGCR inhibitor
50	BRD-K86161929	cortisone	-0.5523555334815381	Androgen receptor antagonist
51	BRD-A49225603	alimemazine	-0.5517200410935597	Histamine receptor antagonist
52	BRD-K74195153	irsogladine	-0.5516364081799203	Phosphodiesterase inhibitor
53	BRD-K54095730	CMPD-1	-0.551606288890132	-
54	BRD-K67043667	altretamine	-0.5515924077036874	DNA inhibitor
55	BRD-K78633253	EXO-1	-0.5510300785780096	-
56	BRD-K49807096	benazepril	-0.5505908628769752	Angiotensin converting enzyme inhibitor
57	BRD-K82746043	navitoclax	-0.5504915166933566	BCL inhibitor
58	BRD-K02123250	JNJ-38877605	-0.549929005189723	-
59	BRD-K31283835	tofacitinib	-0.5493002160803434	JAK inhibitor
60	BRD-K79619196	BRD-K79619196	-0.548470922495853	-
61	BRD-K99946902	hexylresorcinol	-0.5479474344415934	Anesthetic - local
62	BRD-U88861852	YL-57	-0.5473983970365693	-
63	BRD-K27737647	H-89	-0.5468943272684789	-
64	BRD-K61248029	FU-JMBII113B	-0.5466141060357652	-
65	BRD-A61793559	metolazone	-0.5462225623212154	Carbonic anhydrase inhibitor
66	BRD-K23383398	T-0901317	-0.5454377896670418	-
67	BRD-A13188892	doxazosin	-0.5451807830147338	Adrenergic receptor antagonist
68	BRD-A95937159	BRD-A95937159	-0.5450976854257438	-
69	BRD-K65639003	icariin	-0.5449921161773362	Phosphodiesterase inhibitor
70	BRD-K74507776	BRD-K74507776	-0.5445506205594207	-
71	BRD-K19352500	prochlorperazine	-0.5444162007097574	Dopamine receptor antagonist
72	BRD-K45033733	famciclovir	-0.5441014804991401	DNA inhibitor
73	BRD-K54070802	BRD-K54070802	-0.5436256924814346	-
74	BRD-K12621773	BRD-K12621773	-0.5432261559280598	-
75	BRD-K52075715	oxibendazole	-0.5429145506374499	Tubulin inhibitor
76	BRD-K67783091	haloperidol	-0.542668977592692	Dopamine receptor antagonist
77	BRD-K88964386	BRD-K88964386	-0.5426676556691786	-
78	BRD-K55966568	orantinib	-0.5425394139179216	PDGFR inhibitor|FGFR inhibitor|VEGFR inhibitor
79	BRD-K17773477	BRD-K17773477	-0.5423334729578017	-
80	BRD-K08109516	L-701324	-0.541977659423837	-
81	BRD-K34508425	KUC103898N	-0.5417288051943144	-
82	BRD-K31484631	rifabutin	-0.541417048393729	Protein synthesis inhibitor
83	BRD-K24632213	BRD-K24632213	-0.5411301137159196	-
84	BRD-A65280694	molindone	-0.540971671198182	Dopamine receptor antagonist
85	BRD-A10977446	carvedilol	-0.5408513252162936	Adrenergic receptor antagonist
86	BRD-A94567954	BRD-A94567954	-0.5405216118462561	-
87	BRD-A09533288	verapamil	-0.5402522959187159	Calcium channel blocker
88	BRD-K02283807	GR-32191	-0.5402171293130867	-
89	BRD-A91555231	norepinephrine	-0.5392914359426	-
90	BRD-K21283037	riluzole	-0.5392087870077805	Glutamate inhibitor
91	BRD-A92670106	tocainide	-0.5391387016332009	Sodium channel inhibitor
92	BRD-A22380646	pantoprazole	-0.538114895549223	Proton pump inhibitor
93	BRD-K43581698	BRD-K43581698	-0.5378807190907164	-
94	BRD-A00520476	otenzepad	-0.5377342859855188	Acetylcholine receptor antagonist
95	BRD-K30779094	BRD-K30779094	-0.5373695062620584	-
